System_Name,Seq,Table_Name,Table_Desc
,174,LIC_INGREDIENTS_01000429,
,175,LIC_INGREDIENTS_FACTORY,
,176,LIC_INSP_FILE,
,177,LIC_LOCK,
,178,LIC_LOCK_FILE,
,179,LIC_LOCK_REASON,
,180,LIC_MD_BASE,
,181,LIC_MD_COMPONENTS,
,182,LIC_MD_EQUIPMENT,
,183,LIC_MOD_ITEM,
,184,LIC_MONITOR,
,185,LIC_MONITOR_MOD_LOG,
,186,LIC_OAP_LOG,
,187,LIC_PACKAGE,
,188,LIC_PHASE_IV_STUDY,
,189,LIC_PRESCRIPTION,
,190,LIC_PRESCRIPTION_01000429,
,191,LIC_PROCESS_FILE,
,192,LIC_PROD_KIND,
,193,LIC_PROD_NAME,
,194,LIC_RELATION,
,195,LIC_RESTRAINT,
,196,LIC_RESTRAINT_BAK,
,197,LIC_STABLE,
,198,LIC_STORE_CONDITION,
,199,LIC_STORE_CONDITION_FILE,
,200,LIC_UPDATE_ITEM,
,201,LIC_UPDATE_ITEM_QMSQSD,
,202,LIC_USAGE,
,203,link_token,
,204,MAIR_Sync_To_AGR_Log,
,205,MAIR_Sync_To_LMS_Log,
,206,MAIR_同意函基本資料暫存檔,
,207,MAIR_專案通關主檔暫存檔,
,208,MAIR_試製及樣品委託商暫存檔,
,209,MCPTOKEN,
,210,MED_DR_CHANGE_1,
,211,MED_DR_COMPANY,
,212,MED_DR_COMPANY_LOG,
,213,MED_DR_COMPANY_SYNC_QUEUE,
,214,MED_DR_DELETE_RECORD,
,215,MED_DR_MODIFY,
,216,MED_GMP_COMPANY,
,217,MED_GMP_COUNTRY,
,218,MED_GMP_COUNTRY_FILE,
,219,MED_MD_CHANGE,
,220,MED_MD_COMPANY,
,221,MED_MD_DELETE_RECORD,
,222,MED_MD_MODIFY,
,223,Medical_Affairs_Updte_Log,
,224,MFU_GMP,
,225,MFU_GMP_COUNTRY,
,226,MFU_GMP_COUNTRY_FILE,
,227,MFU_GMP_FILE,
,228,MFU_PACKAGE,
,229,MFU_PACKAGE_ANNUAL_DECLARATION,
,230,MLMS人員,
,231,MLMS人員_bak,
,232,MLMS人員_CDE,
,233,MPM_APPLICANT,
,234,MPM_BASE,
,235,MPM_CCC_DODE,
,236,MPM_ITEM,
,237,MPM_MOD_ITEM,
,238,NEWDRUG_PER_MONTH,
,239,REG_APPLICANT,
,240,REG_ATC,
,241,REG_BA_BE,
,242,REG_BASE,
,243,REG_BASE_FILE,
,244,REG_CCC,
,245,REG_CLINICAL_EXAM,
,246,REG_DMF,
,247,REG_DR_BASE,
,248,REG_DR_SUBCLASS,
,249,REG_FACTORY,
,250,REG_FACTORY_ENTRUST,
,251,REG_FACTORY_PROCESS,
,252,REG_FACTORY_QMSQSD,
,253,REG_INDICATIONS,
,254,REG_INDICATIONS_FILE,
,255,REG_INGREDIENTS,
,256,REG_INGREDIENTS_FACTORY,
,257,REG_INSP_FILE,
,258,REG_MD_BASE,
,259,REG_MD_EQUIPMENT,
,260,REG_MD_SUBCLASS_BLACK_LIST,
,261,REG_PACKAGE,
,262,REG_PHASE_IV_STUDY,
,263,REG_PRESCRIPTION,
,264,REG_PROD_KIND,
,265,REG_PROD_NAME,
,266,REG_RELATION,
,267,REG_RESTRAINT,
,268,REG_STORE_CONDITION,
,269,REG_STORE_CONDITION_FILE,
,270,REG_USAGE,
,271,REP_APPLY,
,272,REP_COS_1,
,273,REP_COUNTRY,
,274,REP_DRUG_1,
,275,REP_DRUG_2,
,276,REP_FACTORY,
,277,REP_MED_1,
,278,REP_MED_2,
,279,REP_MONTH_LIC_CANCEL,
,280,REP_MONTH_LIC_CHG,
,281,REP_MONTH_LIC_EXPIRE,
,282,REP_MONTH_LIC_EXTEND,
,283,REP_MONTH_LIC_NEW,
,284,REP_MONTH_LIC_WILLEXTEND,
,285,REP_YEAR_LIC_EXTEND,
,286,REP_YEAR_LIC_WILLEXTEND,
,287,SYS_APIPATH,
,288,SYS_APIPATH_prod_BK20250704,
,289,SYS_APIPATH_TEMP,
,290,SYS_CALENDAR,
,291,SYS_CODE,
,292,sys_code_1130509,
,293,SYS_CODE_DEFINE,
,294,SYS_CODE_LOG,
,295,sys_code_parts,
,296,SYS_FUNC,
,297,SYS_GROUP,
,298,SYS_GROUP_FUNC,
,299,SYS_GROUP_FUNC_BK,
,300,SYS_HASH_CODE,
,301,SYS_HASH_CODE_LOG,
,302,SYS_IMAGE,
,303,SYS_LOGIN_RECORD,
,304,SYS_MAIL_ADDRS,
,305,SYS_MAIL_ATTACHS,
,306,SYS_MAIL_QUEUE,
,307,SYS_MESSAGE,
,308,SYS_MESSAGE_UNIT,
,309,SYS_MESSAGE_USER,
,310,SYS_MESSAGE_WAY,
,311,SYS_PERSON,
,312,SYS_PERSON_0419,
,313,SYS_PERSON_1108BK,
,314,SYS_PERSON_BK,
,315,SYS_PERSON_PWD_HIS,
,316,SYS_PERSON_QUERY_RIGHT,
,317,SYS_PERSON_QUERY_RIGHT_RECORD,
,318,SYS_PERSON_RECORD,
